"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"36-2591-1",36,2591,0,1,"Beroe","hydrogenPDW","2.3","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1434803","Beroe Muller, 1776","Genus","Animalia","Ctenophora","Nuda","Beroida","Beroidae","Beroe","Ctenophore","literature",NA,"P. Pata","2023-06-28",1,"Beroe","H_pdw_Mean","2.3","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-4848-1",36,4848,0,1,"Limacina rangii","hydrogenPDW","4.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:719583","Limacina rangii (d'Orbigny, 1835)","Species","Animalia","Mollusca","Gastropoda","Pteropoda","Limacinidae","Limacina","Pteropod","literature",NA,"P. Pata","2023-06-28",1,"Limacina antarctica","H_pdw_Mean","4.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-4795-1",36,4795,0,1,"Clione antarctica","hydrogenPDW","6.5","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:714164","Clione antarctica E. A. Smith, 1902","Species","Animalia","Mollusca","Gastropoda","Pteropoda","Clionidae","Clione","Pteropod","literature",NA,"P. Pata","2023-06-28",1,"Clione antarctica","H_pdw_Mean","6.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-4792-1",36,4792,0,1,"Clio pyramidata","hydrogenPDW","5.4","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:139033","Clio pyramidata Linnaeus, 1767","Species","Animalia","Mollusca","Gastropoda","Pteropoda","Cliidae","Clio","Pteropod","literature",NA,"P. Pata","2023-06-28",1,"Cleodora sulcata","H_pdw_Mean","5.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-4754-1",36,4754,0,1,"Tomopteris carpenteri","hydrogenPDW","5.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer; size group 1","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:332607","Tomopteris carpenteri Quatrefages, 1866","Species","Animalia","Annelida","Polychaeta","Phyllodocida","Tomopteridae","Tomopteris","Polychaete","literature",NA,"P. Pata","2023-06-28",1,"Tomopteris carpenteri","H_pdw_Mean","5.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-637-1",36,637,0,1,"Calanus propinquus","hydrogenPDW","6.7","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:342435","Calanus propinquus Brady, 1883","Species","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanoid","literature",NA,"P. Pata","2023-06-28",1,"Calanus propinquus","H_pdw_Mean","6.7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-1423-1",36,1423,0,1,"Metridia gerlachei","hydrogenPDW","6.9","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:344689","Metridia gerlachei Giesbrecht, 1902","Species","Animalia","Arthropoda","Copepoda","Calanoida","Metridinidae","Metridia","Calanoid","literature",NA,"P. Pata","2023-06-28",1,"Metridia gerlachei","H_pdw_Mean","6.9","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-255-1",36,255,0,1,"Vibilia antarctica","hydrogenPDW","6","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:325408","Vibilia antarctica Stebbing, 1888","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Vibiliidae","Vibilia","Amphipod","literature",NA,"P. Pata","2023-06-28",1,"Viblia antarctica","H_pdw_Mean","6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-87-1",36,87,0,1,"Hyperia gaudichaudii","hydrogenPDW","7.5","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:325380","Hyperia gaudichaudii H. Milne Edwards, 1840","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","Amphipod","literature",NA,"P. Pata","2023-06-28",1,"Hyperia gaudichaudii","H_pdw_Mean","7.5","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-3027-1",36,3027,0,1,"Euphausia triacantha","hydrogenPDW","6.7","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:236220","Euphausia triacantha Holt & Tattersall, 1906","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausiid","literature",NA,"P. Pata","2023-06-28",1,"Euphausia triacantha","H_pdw_Mean","6.7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-5217-1",36,5217,0,1,"Ihlea racovitzai","hydrogenPDW","2.1","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:266542","Ihlea racovitzai (Van Beneden & De Selys Longchamp, 1913)","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Ihlea","Thaliacean","literature",NA,"P. Pata","2023-06-28",1,"Ihlea racovitzai","H_pdw_Mean","2.1","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"36-5237-1",36,5237,0,1,"Salpa thompsoni","hydrogenPDW","1.7","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:266545","Salpa thompsoni Foxton, 1961","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Salpa","Thaliacean","literature",NA,"P. Pata","2023-06-28",1,"Salpa thompsoni","H_pdw_Mean","1.7","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-2591-1",35,2591,0,1,"Beroe","hydrogenTotal","5.29","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:1434803","Beroe Muller, 1776","Genus","Animalia","Ctenophora","Nuda","Beroida","Beroidae","Beroe","Ctenophore","literature",NA,"P. Pata","2023-06-28",1,"Beroe","Htotal_Mean","5.29","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-4848-1",35,4848,0,1,"Limacina rangii","hydrogenTotal","38.88","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:719583","Limacina rangii (d'Orbigny, 1835)","Species","Animalia","Mollusca","Gastropoda","Pteropoda","Limacinidae","Limacina","Pteropod","literature",NA,"P. Pata","2023-06-28",1,"Limacina antarctica","Htotal_Mean","38.88","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-4795-1",35,4795,0,1,"Clione antarctica","hydrogenTotal","50.05","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:714164","Clione antarctica E. A. Smith, 1902","Species","Animalia","Mollusca","Gastropoda","Pteropoda","Clionidae","Clione","Pteropod","literature",NA,"P. Pata","2023-06-28",1,"Clione antarctica","Htotal_Mean","50.05","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-4792-1",35,4792,0,1,"Clio pyramidata","hydrogenTotal","45.9","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:139033","Clio pyramidata Linnaeus, 1767","Species","Animalia","Mollusca","Gastropoda","Pteropoda","Cliidae","Clio","Pteropod","literature",NA,"P. Pata","2023-06-28",1,"Cleodora sulcata","Htotal_Mean","45.9","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-637-1",35,637,0,1,"Calanus propinquus","hydrogenTotal","83.75","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:342435","Calanus propinquus Brady, 1883","Species","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanoid","literature",NA,"P. Pata","2023-06-28",1,"Calanus propinquus","Htotal_Mean","83.75","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-1423-1",35,1423,0,1,"Metridia gerlachei","hydrogenTotal","78.66","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:344689","Metridia gerlachei Giesbrecht, 1902","Species","Animalia","Arthropoda","Copepoda","Calanoida","Metridinidae","Metridia","Calanoid","literature",NA,"P. Pata","2023-06-28",1,"Metridia gerlachei","Htotal_Mean","78.66","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-255-1",35,255,0,1,"Vibilia antarctica","hydrogenTotal","49.2","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:325408","Vibilia antarctica Stebbing, 1888","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Vibiliidae","Vibilia","Amphipod","literature",NA,"P. Pata","2023-06-28",1,"Viblia antarctica","Htotal_Mean","49.2","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-87-1",35,87,0,1,"Hyperia gaudichaudii","hydrogenTotal","53.25","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:325380","Hyperia gaudichaudii H. Milne Edwards, 1840","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","Amphipod","literature",NA,"P. Pata","2023-06-28",1,"Hyperia gaudichaudii","Htotal_Mean","53.25","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
