referenceCode,fullCitation,referenceDOI
Acuna2011a,"Acuna, JosÃ© Luis; Lopez-Urrutia, Angel; Colin, Sean (2014): Data compilation of marine pelagic organism clearance rates. PANGAEA, https://doi.org/10.1594/PANGAEA.832240",10.1594/PANGAEA.832240
Acuna2011b,"Acuna, JosÃ© Luis; Lopez-Urrutia, Angel; Colin, Sean (2014): Data compilation of marine pelagic organism oxygen respiration rates and biomasses. PANGAEA, https://doi.org/10.1594/PANGAEA.832241",10.1594/PANGAEA.832241
Adrian1988,"Adrian, R. 1988. Untersuchungen zur herbivore und carnivoren ernahrungsweise von Cyclops Kolensis und C. Vicinus (Crustacea, Copepoda) . ",
Agersted2012,"Agersted, Mette Dalgaard; Nielsen, Torkel Gissel; Munk, Peter; Vismann, Bent; Arendt, Kristine Engel (2014): Maximum ingestion and maximum clearance rate of Thysanoessa raschii determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834671",10.1594/PANGAEA.834671
Ahnelt1984,"Ahnelt, P., 1984. Chaetognatha. Biology of the integument, pp.746-755.",
AlYamani2011,"Al-Yamani, F. Y., Skryabin, V., Gubanova, A., Khvorov, S. and Prusova, I.: Marine Zooplankton Practical Guide for the Northwestern Arabian Gulf, 1st ed., Kuwait., 2011.",
Alldredge1972,"Alldredge A.L. (1972) Abandoned larvacean houses: a unique food source in the pelagic environment. Science, 177(4052), 885-887.",
Alldredge1977,"Alldredge, A.L. 1977. House morphology and mechanisms of feeding in the Oikopleuridae (Tunicata, Appendicularia). Journal of Zoology, London, 181, 175-188.",
Alldredge1981,"Alldredge, A.L. 1981. The impact of appendicularian grazing on natural food concentrations in-situ. Limnology and Oceanography 26: 247-257.",
Almeda2010a,"Almeda, Rodrigo; Augustin, Christina B; Alcaraz, Miguel; Calbet, Albert; Saiz, Enric (2014): Maximum ingestion and maximum clearance rate of Oithona davisae determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834694",10.1594/PANGAEA.834694
Almeda2010b,"Almeda, Rodrigo; Calbet, Albert; Alcaraz, Miguel; Yebra, Lidia; Saiz, Enric (2014): Growth rate of Oithona davisae determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834207",10.1594/PANGAEA.834207
Almeda2011a,"Almeda, R., Alcaraz, M., Calbet, A. and Saiz, E.: Metabolic rates and carbon budget of early developmental stages of the marine cyclopoid copepod Oithona davisae, Limnol. Oceanogr., 56(1), 403–414, ",10.4319/lo.2011.56.1.0403
