scientificName,verbatimScientificName,acceptedNameUsage,taxonID,aphiaID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,majorgroup,acceptedNameUsageID
Abyssorchomene,Abyssorchomene,"Abyssorchomene De Broyer, 1984",1,101585,"De Broyer, 1984",180,Genus,176808,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,Amphipod,urn:lsid:marinespecies.org:taxname:101585
Acanthoscina,Acanthoscina,"Acanthoscina Vosseler, 1900",2,101809,"Vosseler, 1900",180,Genus,101424,Animalia,Arthropoda,Malacostraca,Amphipoda,Scinidae,Acanthoscina,,Amphipod,urn:lsid:marinespecies.org:taxname:101809
Ameroculodes edwardsi,Monoculodes edwardsi,"Ameroculodes edwardsi (Holmes, 1905)",3,547000,"(Holmes, 1905)",220,Species,101694,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Ameroculodes,Ameroculodes edwardsi,Amphipod,urn:lsid:marinespecies.org:taxname:547000
Amphipoda,Amphipoda,"Amphipoda Latreille, 1816",4,1135,"Latreille, 1816",100,Order,1090,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1135
Amphithyridae,Amphithyridae,"Amphithyridae Zeidler, 2016",5,952000,"Zeidler, 2016",140,Family,155698,Animalia,Arthropoda,Malacostraca,Amphipoda,Amphithyridae,,,Amphipod,urn:lsid:marinespecies.org:taxname:952000
Anchylomera,Anchylomera,"Anchylomera H. Milne Edwards, 1830",6,236612,"H. Milne Edwards, 1830",180,Genus,101421,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Anchylomera,,Amphipod,urn:lsid:marinespecies.org:taxname:236612
Anchylomera blossevillei,Anchylomera blossevillei,"Anchylomera blossevillei H. Milne Edwards, 1830",7,236613,"H. Milne Edwards, 1830",220,Species,236612,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Anchylomera,Anchylomera blossevillei,Amphipod,urn:lsid:marinespecies.org:taxname:236613
Anonyx,Anonyx,"Anonyx Krøyer, 1838",8,101592,"Krøyer, 1838",180,Genus,176808,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx,,Amphipod,urn:lsid:marinespecies.org:taxname:101592
Aristioidea,Aristioidea,"Aristioidea Lowry & Stoddart, 1997",9,1055699,"Lowry & Stoddart, 1997",130,Superfamily,1055696,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,Amphipod,urn:lsid:marinespecies.org:taxname:1055699
Atylidae,Atylidae,"Atylidae Lilljeborg, 1865",10,146525,"Lilljeborg, 1865",140,Family,1055692,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,,,Amphipod,urn:lsid:marinespecies.org:taxname:146525
