traitBucket,traitNum,trait,traitID,traitName,traitUnit,verbatimTraitName,verbatimTraitUnit,valueType
morphological,1,body length,1,bodyLength,mm,Length.(mm),mm,numeric
morphological,1,body length,1,bodyLength,mm,Mean,mm,numeric
morphological,1,body length,1,bodyLength,mm,Body.length,mm,numeric
morphological,1,body length,1,bodyLength,mm,Mean.body.mength,mm,numeric
morphological,1,body length,1,bodyLength,mm,size_Mean,mm,numeric
morphological,1,body length,2,bodyLength_Max,mm,size_Max,mm,numeric
morphological,1,body length,2,bodyLength_Max,mm,Maximum,mm,numeric
morphological,1,body length,2,bodyLength_Max,mm,Maximal.length.[A1],mm,numeric
morphological,1,body length,2,bodyLength_Max,mm,Max.bl,mm,numeric
morphological,1,body length,2,bodyLength_Max,mm,Mean.max.body.length,mm,numeric
morphological,1,body length,3,bodyLength_Min,mm,size_Min,mm,numeric
morphological,1,body length,3,bodyLength_Min,mm,Minimum,mm,numeric
morphological,1,body length,3,bodyLength_Min,mm,Minimal.length.[A1],mm,numeric
morphological,1,body length,3,bodyLength_Min,mm,Min.bl,mm,numeric
morphological,1,body length,191,bodyLengthMax,mm,,,numeric
morphological,2,dry weight,4,dryWeight,mg,dryWeight_Indiv,mg,numeric
morphological,2,dry weight,4,dryWeight,mg,Dry.mass,mg,numeric
morphological,2,dry weight,4,dryWeight,mg,dryWeight_Mean,mg,numeric
morphological,2,dry weight,4,dryWeight,mg,Dry mass,g,numeric
morphological,2,dry weight,4,dryWeight,mg,dry.mass.(mg),mg,numeric
morphological,2,dry weight,5,dryWeight_Max,mg,dryWeight_Max,mg,numeric
morphological,2,dry weight,5,dryWeight_Max,mg,Max.dm,mg,numeric
morphological,2,dry weight,6,dryWeight_Min,mg,dryWeight_Min,mg,numeric
morphological,2,dry weight,6,dryWeight_Min,mg,Min.dm,mg,numeric
morphological,3,wet weight,7,wetWeight,mg,wetWeight_Indiv,mg,numeric
morphological,3,wet weight,7,wetWeight,mg,wetWeight_Mean,mg,numeric
morphological,3,wet weight,7,wetWeight,mg,wet.mass.(mg),mg,numeric
morphological,3,wet weight,8,wetWeight_Max,mg,wetWeight_Max,mg,numeric
morphological,3,wet weight,9,wetWeight_Min,mg,wetWeight_Min,mg,numeric
morphological,4,ash free dry weight,10,afdw_Max,mg,afdw_Max,mg,numeric
morphological,4,ash free dry weight,11,afdw,mg,afdw_Mean,mg,numeric
morphological,4,ash free dry weight,12,afdw_Min,mg,afdw_Min,mg,numeric
morphological,4,ash free dry weight,13,afdwPDW_Max,percent,afdw_pdw_Max,percent,numeric
morphological,4,ash free dry weight,14,afdwPDW,percent,afdw_pdw_Mean,percent,numeric
morphological,4,ash free dry weight,15,afdwPDW_Min,percent,afdw_pdw_Min,percent,numeric
morphological,5,carbon weight,16,carbonWeight,mg,Ctotal_Indiv,mg,numeric
morphological,5,carbon weight,16,carbonWeight,mg,Ctotal_Mean,mg,numeric
morphological,5,carbon weight,16,carbonWeight,mg,carbonTotal,mg,numeric
morphological,5,carbon weight,16,carbonWeight,mg,carbonMass_Mean,mg,numeric
morphological,5,carbon weight,16,carbonWeight,mg,carbonMass_Indiv,mg,numeric
morphological,5,carbon weight,16,carbonWeight,mg,Cct.total,mg,numeric
morphological,5,carbon weight,16,carbonWeight,mg,Adult.weight.(mgC),mgC,numeric
morphological,5,carbon weight,16,carbonWeight,mg,Biom.C/ind.[ug/#],ug,numeric
morphological,5,carbon weight,16,carbonWeight,mg,carbonWeight,mg,numeric
