select,grp,X,Y,a,b,a.ci.2.5,a.ci.97.5,b.ci.2.5,b.ci.97.5,n,R2,pval,model,base,minX,maxX
,All,bodyLengthMax,dryWeight,-1.814251593,2.184910187,-1.945745573,-1.682757614,2.038901667,2.330918706,211,0.806349592,1.90993E-76,OLS,10,0.485,402.5
,All,bodyLengthMax,wetWeight,-0.926533929,2.46302498,-1.319746866,-0.533320992,2.182590147,2.743459813,81,0.79460043,7.04667E-29,OLS,10,1.4,402.5
,All,bodyLengthMax,carbonWeight,-2.241306542,1.672370406,-2.380963548,-2.101649535,1.538660046,1.806080767,243,0.715809003,8.75828E-68,OLS,10,0.385,700
,All,dryWeight,wetWeight,0.81864081,1.087434601,0.663275871,0.974005749,0.994749789,1.180119413,79,0.876367077,1.07729E-36,OLS,10,0.03,15954.58631
,All,dryWeight,carbonWeight,-0.551377156,0.806672803,-0.612364631,-0.490389682,0.764754678,0.848590929,195,0.881857849,1.87358E-91,OLS,10,0.000875,15954.58631
,All,carbonWeight,bodyLengthMax,1.180809585,0.428020611,1.123863782,1.237755388,0.393799251,0.462241971,243,0.715809003,8.75828E-68,OLS,10,0.000131385,171.27
,All,carbonWeight,wetWeight,1.819896399,1.08077651,1.548765135,2.091027663,0.82998711,1.33156591,88,0.460454704,3.7448E-13,OLS,10,0.0133,242
yes,All,dryWeight,ashTotal,-1.067550072,1.375211745,-1.211465196,-0.923634948,1.266107332,1.484316158,47,0.934734629,2.61395E-28,OLS,10,0.03,10970
,All,dryWeight,nitrogenTotal,-1.079419429,0.908885756,-1.145715982,-1.013122877,0.860452782,0.95731873,204,0.871432025,6.3199E-92,OLS,10,0.000875,15954.58631
,All,dryWeight,phosphorusTotal,-2.300501201,0.877722659,-2.401597739,-2.199404663,0.805470285,0.949975034,110,0.84298233,3.17543E-45,OLS,10,0.0017,15954.58631
yes,All,carbonWeight,energyContent,1.755597348,0.958062251,1.677495051,1.833699644,0.88303592,1.033088583,48,0.934908483,6.21226E-29,OLS,10,0.0133,242
yes,All,carbonWeight,respirationRate_15C,0.622746707,0.897022105,0.526719321,0.718774093,0.827826403,0.966217807,162,0.803789097,1.83582E-58,OLS,10,0.000131385,171.27
maybe,All,dryWeight,excretionRateN_15C,-0.933504323,0.706331,-0.992604751,-0.874403894,0.658238883,0.754423118,131,0.867475722,1.83749E-58,OLS,10,0.003784842,15954.58631
maybe,All,dryWeight,excretionRateP_15C,-1.493967714,0.672150874,-1.580000833,-1.407934595,0.608849864,0.735451885,74,0.861552426,1.22874E-32,OLS,10,0.003784842,15954.58631
,All,carbonWeight,clearanceRate_15C,2.337468066,0.923545017,2.086387178,2.588548953,0.783792967,1.063297067,54,0.771779383,2.58811E-18,OLS,10,0.000131385,154.411
,All,carbonWeight,ingestionRate_15C,0.879691413,0.73734389,0.661022287,1.09836054,0.629586566,0.845101214,39,0.838585948,3.14722E-16,OLS,10,0.000131385,50.7239049
,All,carbonWeight,eggWeight,-0.62484929,0.444460467,-0.860197043,-0.389501537,0.329626633,0.559294301,167,0.261416307,1.65877E-12,OLS,10,0.00000336,138.0851027
yes,Crustaceans,bodyLengthMax,dryWeight,-1.90575445,2.45771394,-2.017634242,-1.793874658,2.291068906,2.624358975,172,0.832936602,5.89084E-68,OLS,10,0.485,48
yes,Crustaceans,bodyLengthMax,wetWeight,-1.136927408,2.419704675,-1.42967624,-0.844178575,2.127920053,2.711489298,40,0.88118757,3.61061E-19,OLS,10,1.64625,94
yes,Crustaceans,bodyLengthMax,carbonWeight,-2.511955611,2.552996481,-2.609150726,-2.414760496,2.397078671,2.708914291,169,0.862212918,8.82317E-74,OLS,10,0.385,48
yes,Crustaceans,dryWeight,wetWeight,0.72292989,0.997653981,0.671543175,0.774316605,0.952530224,1.042777738,50,0.976286121,1.1591E-40,OLS,10,0.03,593
yes,Crustaceans,dryWeight,carbonWeight,-0.405102821,0.990489332,-0.44623127,-0.363974371,0.958017163,1.022961501,141,0.963190611,1.4853E-101,OLS,10,0.000875,593
,Crustaceans,carbonWeight,bodyLengthMax,0.90972382,0.337725855,0.872096629,0.947351011,0.317100101,0.358351608,169,0.862212918,8.82317E-74,OLS,10,0.000131385,171.27
,Crustaceans,carbonWeight,wetWeight,1.121800286,1.002955377,1.053935439,1.189665132,0.940489021,1.065421733,51,0.955048708,1.13867E-34,OLS,10,0.0133,242
,Crustaceans,dryWeight,ashTotal,-1.158062124,1.15746656,-1.271991096,-1.044133153,1.02174652,1.2931866,36,0.898321349,1.89602E-18,OLS,10,0.03,131.1555556
yes,Crustaceans,dryWeight,nitrogenTotal,-0.999231475,1.016819974,-1.051394683,-0.947068266,0.972458808,1.06118114,148,0.933580359,7.26744E-88,OLS,10,0.000875,593
yes,Crustaceans,dryWeight,phosphorusTotal,-2.101970139,1.057989563,-2.198606708,-2.00533357,0.981186145,1.13479298,72,0.915132815,3.18005E-39,OLS,10,0.0017,276.1475
,Crustaceans,carbonWeight,energyContent,1.769280452,0.977519207,1.700925358,1.837635545,0.912699287,1.042339126,39,0.961882136,7.47795E-28,OLS,10,0.0133,242
,Crustaceans,carbonWeight,respirationRate_15C,0.49375595,0.836525489,0.377914891,0.60959701,0.759480118,0.913570859,119,0.798057372,1.86561E-42,OLS,10,0.000131385,171.27
yes,Crustaceans,dryWeight,excretionRateN_15C,-0.874484628,0.774496082,-0.930795247,-0.818174009,0.724353688,0.824638477,94,0.910945537,4.19596E-50,OLS,10,0.00748125,704.5
yes,Crustaceans,dryWeight,excretionRateP_15C,-1.455130326,0.711175714,-1.540088961,-1.370171692,0.639914314,0.782437113,56,0.881144497,1.21812E-26,OLS,10,0.008904762,704.5
yes,Crustaceans,carbonWeight,clearanceRate_15C,1.79349495,0.706175503,1.553164432,2.033825468,0.592295885,0.820055122,31,0.847246749,2.3354E-13,OLS,10,0.000131385,50.7239049
yes,Crustaceans,carbonWeight,ingestionRate_15C,0.975368335,0.761941827,0.775250029,1.175486642,0.669062053,0.854821601,33,0.900300143,4.50695E-17,OLS,10,0.000131385,50.7239049
yes,Crustaceans,carbonWeight,eggWeight,0.519167585,0.874848738,0.305804087,0.732531083,0.780632776,0.969064701,119,0.742956964,2.60331E-36,OLS,10,0.00000336,23.6
,Copepods,bodyLengthMax,dryWeight,-2.011892927,2.74490801,-2.123069992,-1.900715861,2.537157675,2.952658345,149,0.822632298,4.48324E-57,OLS,10,0.485,11.22
,Copepods,bodyLengthMax,wetWeight,-1.331988208,2.676795576,-1.608748017,-1.055228399,2.243997417,3.109593734,23,0.887359655,2.00462E-11,OLS,10,1.64625,9.15
